,name,id,jk,activation,gnn_layers,architecture,learning_rate,hidden_channels,selected_extra_feature,target,train_loss,val_loss,eval_loss,best_train_loss,best_val_loss,train_acc,val_acc,eval_accuracy,best_train_accuracy,best_val_accuracy,mean_error,mean_abs_error,std_error,duration
20,proud-sweep-5140,cqdng5lm,none,elu,5,GATLinNet,0.01,64,noisy_probability,true_labels_all_padded,0.0623564463108778,0.06670333221554756,0.1487114429473877,0.06137021631002426,0.06593947857618332,89.30743408203125,88.77264404296875,69.10639190673828,90.11009979248048,89.30439758300781,none,none,none,778.5931375080254
21,classic-sweep-5139,9hyvnogv,none,elu,5,GATLinNet,0.01,64,true_probability,true_labels_all_padded,0.055595901980996135,0.061197119578719136,0.1651851236820221,0.05503736436367035,0.060553282499313354,91.794677734375,91.26280212402344,72.2493667602539,92.33074951171876,91.66053771972656,none,none,none,786.7457964289933
22,dulcet-sweep-5138,rqg9a3q7,none,elu,5,GATLinNet,0.01,64,predicted_probability,true_labels_all_padded,0.1116986647248268,0.11777498722076415,0.11912740021944046,0.11072053015232086,0.11709275841712952,73.65190124511719,73.21775817871094,72.22774505615234,76.09447479248047,75.80303192138672,none,none,none,787.4341987557709
23,silver-sweep-5137,7yctnm3m,none,elu,5,GATLinNet,0.01,64,none,true_labels_all_padded,0.145190492272377,0.14828743189573287,0.13353826105594635,0.12746483087539673,0.13183118402957916,68.15287017822266,67.97371673583984,68.22013854980469,70.54932403564453,69.94509887695312,none,none,none,782.6451866263524
24,giddy-sweep-5121,b5c46mol,none,elu,5,GATLinNet,0.0001,32,none,true_labels_all_padded,0.1973925784230232,0.19815058410167696,0.20037224888801575,0.19703851640224457,0.19779600203037265,51.54191970825195,51.627685546875,50.75872421264648,51.54191970825195,51.627685546875,none,none,none,586.4165674010292
25,fresh-sweep-5123,5u3lvnev,none,elu,5,GATLinNet,0.0001,32,true_probability,true_labels_all_padded,0.08829212188720703,0.08896660581231117,0.1864527612924576,0.08812090009450912,0.08879951387643814,77.16517639160156,77.5452880859375,61.84773254394531,77.16517639160156,77.5452880859375,none,none,none,581.3543139619287
26,worthy-sweep-5122,151wtszf,none,elu,5,GATLinNet,0.0001,32,predicted_probability,true_labels_all_padded,0.15842654705047607,0.1596292734146118,0.1622362583875656,0.158225879073143,0.1594238430261612,60.949073791503906,60.85772705078125,60.239505767822266,61.18252182006836,61.177642822265625,none,none,none,588.2830786067061
27,rose-sweep-5124,goc5d4xc,none,elu,5,GATLinNet,0.0001,32,noisy_probability,true_labels_all_padded,0.09903745651245116,0.09995967671275138,0.1910775601863861,0.09892024844884872,0.09983904659748076,75.56417083740234,75.5177001953125,56.050323486328125,75.56417083740234,75.5177001953125,none,none,none,579.8420175788924
28,frosty-sweep-5120,7ctsc5vq,none,elu,5,GATLinNet,0.001,32,noisy_probability,true_labels_all_padded,0.07520438507199287,0.07671182453632355,0.16661125421524048,0.07502936571836472,0.07641812413930893,86.05642700195312,85.74639892578125,65.15066528320312,86.05642700195312,85.74639892578125,none,none,none,599.3159796195105
29,tough-sweep-5119,y2ev996q,none,elu,5,GATLinNet,0.001,32,true_probability,true_labels_all_padded,0.06512457504868507,0.06795430332422256,0.17564205825328827,0.06489283591508865,0.0678258016705513,88.02201843261719,87.74372100830078,69.21015167236328,88.29581451416016,88.11551666259766,none,none,none,578.9723915476352
30,genial-sweep-5117,h2ggg1k3,none,elu,5,GATLinNet,0.001,32,none,true_labels_all_padded,0.1466942846775055,0.15056828856468202,0.15164628624916077,0.145882710814476,0.1497257649898529,62.75182342529297,62.35354995727539,62.23250198364258,63.394527435302734,63.153343200683594,none,none,none,580.8152900757268
31,scarlet-sweep-5118,z3t59mhj,none,elu,5,GATLinNet,0.001,32,predicted_probability,true_labels_all_padded,0.13065138906240464,0.1330411836504936,0.13511602580547333,0.13037757575511932,0.13272222876548767,69.13278198242188,68.85997009277344,68.21148681640625,70.14295196533203,70.2217788696289,none,none,none,588.8337264638394
32,silver-sweep-5116,bvpew97s,none,elu,5,GATLinNet,0.01,32,noisy_probability,true_labels_all_padded,0.06369413360953331,0.06632112562656403,0.15366968512535095,0.0630076676607132,0.0655854195356369,88.03211212158203,87.60970306396484,69.7332534790039,89.73974609375,89.29142761230469,none,none,none,573.7309828659054
33,elated-sweep-5114,rlvs59j0,none,elu,5,GATLinNet,0.01,32,predicted_probability,true_labels_all_padded,0.10967866182327272,0.114144454151392,0.11554235219955444,0.10694720596075058,0.1122451201081276,76.37115478515625,75.7381820678711,75.39665985107422,76.99512481689453,76.44287109375,none,none,none,600.8492380036041
34,snowy-sweep-5115,q49zft7q,none,elu,5,GATLinNet,0.01,32,true_probability,true_labels_all_padded,0.056243587657809256,0.05969469882547855,0.16955351829528809,0.05356186255812645,0.05734240636229515,92.08576965332033,91.55245971679688,72.67736053466797,92.8221435546875,92.25282287597656,none,none,none,584.6966783721
35,stellar-sweep-5113,qf71jo0t,none,elu,5,GATLinNet,0.01,32,none,true_labels_all_padded,0.12337819039821624,0.13094287663698195,0.13097450137138367,0.12227001041173936,0.12896205484867096,69.16448211669922,68.21148681640625,68.28498840332031,70.96434783935547,70.20880889892578,none,none,none,581.7679615020752
36,woven-sweep-5100,c6jy6bme,none,elu,5,GATLinNet,0.0001,16,noisy_probability,true_labels_all_padded,0.11030489653348922,0.1109483517706394,0.20097002387046817,0.11019369214773178,0.11083779484033585,68.8114242553711,69.1539535522461,49.267215728759766,68.8114242553711,69.1539535522461,none,none,none,472.7924314439297
37,good-sweep-5099,qckg8qlx,none,elu,5,GATLinNet,0.0001,16,true_probability,true_labels_all_padded,0.09949350357055664,0.09985018968582152,0.19243782758712769,0.0992773026227951,0.09966452419757844,70.82600402832031,70.95672607421875,57.04466247558594,70.82600402832031,70.95672607421875,none,none,none,467.73025546805
38,worldly-sweep-5098,vam7r6u1,none,elu,5,GATLinNet,0.0001,16,predicted_probability,true_labels_all_padded,0.1716241270303726,0.1726193070411682,0.17603199183940887,0.17143802344799042,0.17243382334709167,54.160301208496094,54.329689025878906,53.179718017578125,54.160301208496094,54.329689025878906,none,none,none,473.88915341719985
39,eager-sweep-5097,yt6fz6gh,none,elu,5,GATLinNet,0.0001,16,none,true_labels_all_padded,0.2187495693564415,0.22027430981397628,0.2218434512615204,0.2181081622838974,0.21968936920166016,47.19716262817383,47.17911148071289,46.88945770263672,47.19716262817383,47.17911148071289,none,none,none,478.56938123330474
40,bumbling-sweep-5096,chaw0x9a,none,elu,5,GATLinNet,0.001,16,noisy_probability,true_labels_all_padded,0.08092430680990219,0.08186592608690262,0.1734311431646347,0.0806647539138794,0.08153598755598068,83.72769927978516,83.6626205444336,62.44866180419922,84.6024169921875,84.37594604492188,none,none,none,484.0858623420354
