,name,id,jk,activation,gnn_layers,architecture,learning_rate,hidden_channels,selected_extra_feature,target,train_loss,val_loss,eval_loss,best_train_loss,best_val_loss,train_acc,val_acc,eval_accuracy,best_train_accuracy,best_val_accuracy,mean_error,mean_abs_error,std_error,duration
1784,hearty-sweep-3112,t4012dul,cat,tanh,5,GAT,0.01,32,noisy_probability,true_labels_single,0.2526716083288193,0.2523930490016937,0.3132520020008087,0.2462019324302673,0.2473308742046356,38.20215225219727,38.52838134765625,32.47589874267578,40.663455963134766,41.00557708740234,none,none,none,698.5529537179973
3322,laced-sweep-1430,2srkjf8p,cat,relu,5,GAT,0.01,128,predicted_probability,true_labels_single,0.2867911964654922,0.2906460911035537,0.2912327349185943,0.2840546369552612,0.2885733842849731,31.916305541992188,31.8144474029541,32.75258255004883,34.977088928222656,34.76719665527344,none,none,none,1532.4439200563356
1931,amber-sweep-2967,4rdefppq,cat,tanh,2,GAT,0.01,128,true_probability,true_labels_single,0.2277882397174835,0.2272799402475357,0.3426046073436737,0.2277775704860687,0.227268099784851,37.5435905456543,37.89287185668945,30.111106872558597,43.29192733764648,43.46980285644531,none,none,none,787.3665010659024
4756,super-sweep-29,if0xlhlm,cat,,5,GAT,0.001,0,None (uniform),true_labels_single,0.331888872385025,0.3387340754270553,0.3380348682403564,0.3278335928916931,0.3366393446922302,19.952733993530277,20.56979751586914,20.362285614013672,20.88797378540039,21.4257926940918,none,none,none,1762.994427613914
1600,solar-sweep-3416,xmi65xan,none,tanh,5,GATLinNet,0.001,64,noisy_probability,true_labels_single,0.2407516896724701,0.2414777189493179,0.2997157275676727,0.2406536042690277,0.2414061725139618,42.61175537109375,42.782413482666016,35.08711242675781,43.62336730957031,43.70325469970703,none,none,none,797.8625451130792
1630,faithful-sweep-3362,8uw4yrqv,none,tanh,5,GATLinNet,0.01,16,predicted_probability,true_labels_single,0.2807298719882965,0.2817322790622711,0.2832385301589966,0.2805511951446533,0.2815540730953216,39.89249801635742,40.22307586669922,39.24603271484375,41.04389572143555,41.27361297607422,none,none,none,496.8815382840112
1617,restful-sweep-3387,p6g1wl9z,none,tanh,5,GATLinNet,0.01,32,true_probability,true_labels_single,0.2275563895702362,0.2270417720079422,0.3403284847736358,0.2274240851402282,0.2269060611724853,40.28590393066406,40.79806137084961,32.238121032714844,42.32498550415039,42.38467788696289,none,none,none,593.3401042921469
4771,fine-sweep-14,xp3p1aai,cat,,5,GAT,0.001,0,None (mixed),true_labels_single,0.2841626226902008,0.2949962049722671,0.2946060001850128,0.2824724316596985,0.2935292720794678,34.13407516479492,33.8333854675293,33.52643585205078,34.96699905395508,34.87095260620117,none,none,none,1032.630499153398
4768,woven-sweep-17,d1w18bu2,cat,,5,GATLinNet,0.001,0,None (uniform),true_labels_single,0.2785441637039184,0.2897371858358383,0.2897915542125702,0.2776989638805389,0.2881600558757782,37.27699661254883,37.43893432617188,36.36245727539063,37.91970443725586,38.33383941650391,none,none,none,1002.6526943184437
4780,astral-sweep-5,8p830kdd,cat,,5,GCN,0.001,0,None (mixed),true_labels_single,0.29847052693367,0.3012261182069778,0.3015775382518768,0.2964022159576416,0.2994014024734497,31.95953750610352,32.03925323486328,29.847393035888672,31.95953750610352,32.03925323486328,none,none,none,1254.5332476934418
4774,smart-sweep-11,i4awcqng,cat,,5,GIN,0.001,0,None (mixed),true_labels_single,0.3226852983236313,0.3253003478050232,0.3245514333248138,0.3210707008838653,0.323922723531723,22.16474151611328,22.40715980529785,19.635986328125,22.16474151611328,22.40715980529785,none,none,none,939.8212842224166
4777,swept-sweep-8,xqwkcnsa,cat,,5,GraphSAGE,0.001,0,None (mixed),true_labels_single,0.2762874901294708,0.2907741039991379,0.287456065416336,0.2749541699886322,0.2867675721645355,36.93402862548828,37.22709655761719,36.53538513183594,39.130184173583984,39.08175277709961,none,none,none,921.975777673535
4784,swift-sweep-1,4kvu4ul2,cat,,5,MLP,0.01,0,None (mixed),true_labels_single,0.2893324196338653,0.2933969110250473,0.2890281677246094,0.2834188044071197,0.2871262729167938,35.033287048339844,35.07414627075195,35.70532989501953,37.9442024230957,38.03121566772461,none,none,none,873.4258186751977
4208,skilled-sweep-544,kdqd0xq3,cat,relu,5,GCN,0.01,64,noisy_probability,true_labels_single,0.3109648555517196,0.3100396513938904,0.330634742975235,0.302598088979721,0.3017983138561249,25.13329696655273,25.6063289642334,26.168346405029297,27.35683250427246,27.871686935424805,none,none,none,526.1433511779178
2626,atomic-sweep-2270,6devajwi,cat,tanh,5,GCN,0.01,64,predicted_probability,true_labels_single,0.3185779869556427,0.3182360500097275,0.3147225081920624,0.3132379651069641,0.3128959238529205,24.343603134155277,24.322338104248047,24.352602005004883,27.10753059387207,27.35290145874023,none,none,none,528.6916490755975
2649,still-sweep-2247,vhd0n64n,cat,tanh,5,GCN,0.01,32,true_probability,true_labels_single,0.2801630288362503,0.2793562144041061,0.3743636012077331,0.2784394025802612,0.2776460349559784,31.472461700439453,31.879297256469727,27.20591354370117,32.44660949707031,32.87795639038086,none,none,none,438.92486465349793
4762,major-sweep-23,6nmoh1j0,cat,,5,GCN,0.001,0,None (uniform),true_labels_single,0.3339902073144912,0.3342810302972793,0.3338034152984619,0.3323176503181457,0.332773357629776,21.243911743164062,21.620336532592773,22.778955459594727,23.233997344970703,23.302061080932617,none,none,none,974.7586567113176
2072,swept-sweep-2824,cfz48lgu,cat,tanh,5,GIN,0.01,32,noisy_probability,true_labels_single,0.2500327795743942,0.2500349462032318,0.307212084531784,0.2489887326955795,0.2489342838525772,40.96175384521485,40.979637145996094,35.9863395690918,43.02965545654297,43.2363510131836,none,none,none,421.7435873933137
2118,fine-sweep-2778,uatnt9y6,cat,tanh,3,GIN,0.001,128,predicted_probability,true_labels_single,0.2917526513338089,0.2920005440711975,0.2933554947376251,0.2907041013240814,0.2912244200706482,28.09753036499023,28.373178482055664,34.69802474975586,35.37049102783203,35.9863395690918,none,none,none,466.54574056493584
2217,generous-sweep-2679,y0xwya9i,cat,tanh,2,GIN,0.01,128,true_probability,true_labels_single,0.2340355336666107,0.2334872797131538,0.3126308023929596,0.2324787825345993,0.2321297973394394,40.470359802246094,40.51705551147461,32.30729293823242,43.01236724853515,43.193115234375,none,none,none,400.9356156755239
4760,vital-sweep-25,564f48lf,cat,,5,GIN,0.01,0,None (uniform),true_labels_single,0.3726621389389038,0.372521185874939,0.3413927853107452,0.3405046463012695,0.340114414691925,15.785225868225098,16.052051544189453,19.28580665588379,20.634347915649418,20.83783721923828,none,none,none,553.206861699
776,effortless-sweep-4264,5ittcmcw,cat,elu,5,GraphSAGE,0.01,32,noisy_probability,true_labels_single,0.2842383801937103,0.2832609444856643,0.3013898730278015,0.2407630681991577,0.2411439418792725,41.90852355957031,42.15987396240234,34.732608795166016,43.8121452331543,43.85456848144531,none,none,none,403.236978932051
779,fiery-sweep-4262,wpd1elof,cat,elu,5,GraphSAGE,0.01,32,predicted_probability,true_labels_single,0.3163679927587509,0.316413801908493,0.2840678095817566,0.2811947762966156,0.2822543382644653,30.63809585571289,30.768234252929688,36.73857879638672,39.09415817260742,39.2114486694336,none,none,none,392.5075627537444
873,golden-sweep-4167,jfxta0t2,cat,elu,3,GraphSAGE,0.01,32,true_probability,true_labels_single,0.2275862291455269,0.2269154921174049,0.3451902568340301,0.2275024652481079,0.2268322259187698,38.26123428344727,38.567291259765625,32.748260498046875,44.2113151550293,44.58951187133789,none,none,none,356.2922879429534
4754,comfy-sweep-31,gc2x81rp,cat,,5,GraphSAGE,0.01,0,None (uniform),true_labels_single,0.2935584634542465,0.294826328754425,0.2853063642978668,0.2824308574199676,0.2833869755268097,34.69464111328125,35.0482063293457,36.85097885131836,38.17909240722656,38.47650146484375,none,none,none,512.8231258559972
2888,morning-sweep-2008,unqeu2tk,cat,tanh,5,MLP,0.01,128,noisy_probability,true_labels_single,0.2683959156274795,0.2688579112291336,0.3120462596416473,0.2655199468135834,0.2657397985458374,33.838661193847656,34.105743408203125,28.59366226196289,35.504512786865234,35.6318359375,none,none,none,361.9550526952371
2914,major-sweep-1982,ps168zj7,cat,tanh,5,MLP,0.01,64,predicted_probability,true_labels_single,0.2964493155479431,0.297769221663475,0.2984671592712402,0.2951782345771789,0.2965804636478424,33.13399124145508,33.33621597290039,33.70368957519531,34.537567138671875,34.92283248901367,none,none,none,325.367854308337
1353,graceful-sweep-3687,q3kcs24o,cat,elu,5,MLP,0.01,32,true_probability,true_labels_single,0.2275609090924263,0.2268668115139007,0.3454528450965881,0.2274872958660125,0.2268363386392593,40.28158187866211,40.40465545654297,32.64450454711914,40.938697814941406,41.21309280395508,none,none,none,334.4275219347328
4766,mild-sweep-19,hjtlg6qi,cat,,5,MLP,0.01,0,None (uniform),true_labels_single,0.3681001991033554,0.3730765998363495,0.3647726476192474,0.3596881031990051,0.3637207150459289,15.399024963378906,15.381954193115234,14.910726547241213,16.436580657958984,16.72214698791504,none,none,none,413.85443170182407
